2019-04-11 00:05:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:05:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:05:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:05:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:06:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:07:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_TIME] [0@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 0
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_TIME] [1@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 0
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_TIME] [2@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_TIME] [3@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-11 00:08:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_SIZE] [0@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_SIZE] [1@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_SIZE] [2@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-11 00:08:00 INFO - [GROUP_GET_FALL_SIZE] [3@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-11 00:09:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:09:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:10:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
